SPREAD,H,MAT,SAG,BIL,COL,MAS,DUN,REC,LV
10,1,10,12,14,17,13,1,16.66667,4.5
27,1,52,53,37,76,62,38,54.16667,18.5
32,-1,30,32,29,37,27,21,37.5,10
17,1,10,17,6,-1,13,23,12.5,15
13,-1,-4,5,4,-29,8,8,-5.55556,-5.5
26,-1,1,1,-2,5,-2,-3,-12.5,-1
25,1,12,16,7,19,14,15,0,10.5
7,-1,29,28,23,9,25,30,3.57143,14
-19,-1,13,9,3,8,14,11,0,-4
11,1,17,13,10,4,14,22,8.33333,19.5
14,-1,9,10,8,7,8,-1,20,0
5,1,14,14,4,-3,13,13,0,13
-7,1,11,7,20,7,9,7,2.77778,15.5
59,1,15,15,11,10,14,7,20,21
24,1,24,13,14,17,15,13,22.22222,17
3,-1,76,76,68,85,76,65,65.27778,18.5
17,-1,12,12,23,23,14,6,23.33333,7.5
12,-1,13,20,19,31,20,3,22.22222,1.5
4,-1,28,22,21,23,23,7,23.33333,3.5
7,1,83,91,78,86,89,83,75,23.5
-12,-1,12,15,7,11,15,34,12.22222,2
3,-1,27,32,25,34,32,35,27.77778,4.5
47,-1,82,76,71,76,67,51,57.77778,19.5
20,-1,3,1,5,-5,-4,-12,-12.5,-1
14,-1,39,31,24,47,41,45,37.77778,17.5
-27,-1,23,28,33,28,24,18,16.66667,3.5
5,1,15,17,8,20,11,23,14.44444,5.5
33,1,31,36,9,-4,25,48,-22.22222,20.5
3,1,9,8,42,11,9,13,22.22222,6.5
5,-1,29,20,34,28,22,4,23.33333,-1.5
3,1,46,47,55,64,52,58,41.66667,8
24,-1,-29,-23,-41,-44,-32,-9,-33.33333,-2.5
35,1,71,87,54,77,80,68,50,27.5
31,-1,67,74,66,65,80,90,44.44444,30
24,1,71,76,68,96,88,59,77.77778,24.5
42,-1,26,31,36,29,18,25,33.33333,9.5
1,1,-9,-12,-1,-28,-23,-4,-3.33333,9
5,-1,14,15,12,11,10,27,11.11111,8
18,1,47,45,24,44,39,19,22.22222,12
1,-1,7,6,-10,24,14,10,22.22222,-5.5
50,1,39,42,49,43,44,30,26.66667,17
18,1,66,66,56,60,61,71,37.5,27.5
21,1,64,61,76,77,61,63,65.27778,34
-10,-1,2,3,-4,-6,5,21,0,-3.5
14,1,-5,-5,-6,7,-3,-3,0,3
7,-1,6,1,8,5,-2,3,-5.55556,-3
53,1,23,35,30,34,25,37,29.87013,18
16,-1,2,12,-8,-7,3,21,0,7
24,1,46,41,38,55,35,31,47.77778,29
10,1,55,46,43,71,52,36,47.77778,24
4,1,25,21,10,9,23,20,11.11111,11.5
22,-1,27,40,47,42,40,43,55.55556,15.5
24,-1,-9,-4,-17,-17,-4,10,-25.55556,-2.5
32,1,21,22,32,28,21,28,22.22222,16
-3,1,30,29,22,12,32,46,11.11111,17.5
3,1,20,29,26,24,24,26,11.11111,17.5
23,-1,20,21,21,28,22,27,33.33333,3
10,-1,13,14,1,17,16,10,13.88889,8.5
27,-1,9,14,8,10,15,7,-7.77778,5
22,1,-5,-2,13,-3,3,7,-2.22222,7.5
3,-1,20,13,6,18,15,17,6.66667,7.5
9,-1,-8,-5,-4,-11,-4,-4,-11.11111,-5.5
58,1,10,16,9,9,17,20,20,26
-26,-1,12,12,14,14,9,15,20,9
14,-1,20,27,23,18,22,34,20,14.5
