ID,SPREAD,H,MAT,SAG,BIL,COL,MAS,DUN,REC,LV
287,14,1,66,70,23,71,63,52,52.77778,17.5
288,17,-1,51,44,39,64,46,39,50,5.5
289,6,1,25,25,48,28,27,28,35.71429,11.5
290,-9,1,24,23,16,47,27,16,42.85714,7
291,42,-1,40,39,56,21,39,61,12.5,21.5
292,7,1,10,17,-3,-4,8,25,-18.05556,8.5
293,23,-1,64,63,64,71,62,55,37.5,14
294,2,-1,19,26,18,-3,34,40,0,7.5
295,-21,-1,9,-6,-2,14,-1,-20,0,-6
296,10,1,10,12,14,17,13,1,16.66667,4.5
297,27,1,52,53,37,76,62,38,54.16667,18.5
298,32,-1,30,32,29,37,27,21,37.5,10
299,17,1,10,17,6,-1,13,23,12.5,15
300,13,-1,-4,5,4,-29,8,8,-5.55556,-5.5
301,26,-1,1,1,-2,5,-2,-3,-12.5,-1
302,25,1,12,16,7,19,14,15,0,10.5
303,7,-1,29,28,23,9,25,30,3.57143,14
304,-19,-1,13,9,3,8,14,11,0,-4
305,11,1,17,13,10,4,14,22,8.33333,19.5
306,14,-1,9,10,8,7,8,-1,20,0
307,5,1,14,14,4,-3,13,13,0,13
308,-7,1,11,7,20,7,9,7,2.77778,15.5
309,59,1,15,15,11,10,14,7,20,21
310,24,1,24,13,14,17,15,13,22.22222,17
311,3,-1,76,76,68,85,76,65,65.27778,18.5
312,17,-1,12,12,23,23,14,6,23.33333,7.5
313,12,-1,13,20,19,31,20,3,22.22222,1.5
314,4,-1,28,22,21,23,23,7,23.33333,3.5
315,7,1,83,91,78,86,89,83,75,23.5
316,-12,-1,12,15,7,11,15,34,12.22222,2
317,3,-1,27,32,25,34,32,35,27.77778,4.5
318,47,-1,82,76,71,76,67,51,57.77778,19.5
319,20,-1,3,1,5,-5,-4,-12,-12.5,-1
320,14,-1,39,31,24,47,41,45,37.77778,17.5
321,-27,-1,23,28,33,28,24,18,16.66667,3.5
322,5,1,15,17,8,20,11,23,14.44444,5.5
323,33,1,31,36,9,-4,25,48,-22.22222,20.5
324,3,1,9,8,42,11,9,13,22.22222,6.5
325,5,-1,29,20,34,28,22,4,23.33333,-1.5
326,3,1,46,47,55,64,52,58,41.66667,8
327,24,-1,-29,-23,-41,-44,-32,-9,-33.33333,-2.5
328,35,1,71,87,54,77,80,68,50,27.5
329,31,-1,67,74,66,65,80,90,44.44444,30
330,24,1,71,76,68,96,88,59,77.77778,24.5
331,42,-1,26,31,36,29,18,25,33.33333,9.5
332,1,1,-9,-12,-1,-28,-23,-4,-3.33333,9
333,5,-1,14,15,12,11,10,27,11.11111,8
334,18,1,47,45,24,44,39,19,22.22222,12
335,1,-1,7,6,-10,24,14,10,22.22222,-5.5
336,50,1,39,42,49,43,44,30,26.66667,17
337,18,1,66,66,56,60,61,71,37.5,27.5
338,21,1,64,61,76,77,61,63,65.27778,34
339,-10,-1,2,3,-4,-6,5,21,0,-3.5
340,14,1,-5,-5,-6,7,-3,-3,0,3
341,7,-1,6,1,8,5,-2,3,-5.55556,-3
342,53,1,23,35,30,34,25,37,29.87013,18
343,16,-1,2,12,-8,-7,3,21,0,7
344,24,1,46,41,38,55,35,31,47.77778,29
345,10,1,55,46,43,71,52,36,47.77778,24
346,4,1,25,21,10,9,23,20,11.11111,11.5
347,22,-1,27,40,47,42,40,43,55.55556,15.5
348,24,-1,-9,-4,-17,-17,-4,10,-25.55556,-2.5
349,32,1,21,22,32,28,21,28,22.22222,16
350,-3,1,30,29,22,12,32,46,11.11111,17.5
351,3,1,20,29,26,24,24,26,11.11111,17.5
352,23,-1,20,21,21,28,22,27,33.33333,3
353,10,-1,13,14,1,17,16,10,13.88889,8.5
354,27,-1,9,14,8,10,15,7,-7.77778,5
355,22,1,-5,-2,13,-3,3,7,-2.22222,7.5
356,3,-1,20,13,6,18,15,17,6.66667,7.5
357,9,-1,-8,-5,-4,-11,-4,-4,-11.11111,-5.5
358,58,1,10,16,9,9,17,20,20,26
359,-26,-1,12,12,14,14,9,15,20,9
360,14,-1,20,27,23,18,22,34,20,14.5
361,38,1,87,87,80,96,86,84,66.66667,25
362,-3,1,59,60,77,85,70,61,60.90909,27
363,6,1,60,60,59,71,62,71,50,19
364,4,1,41,45,40,50,36,21,33.33333,7.5
365,3,1,5,3,-4,-5,6,14,-3.33333,9.5
366,-6,1,30,25,19,33,28,16,20,8.5
367,11,1,11,18,12,15,12,8,2.72727,3.5
368,19,1,83,80,67,77,72,57,51.81818,28
369,14,-1,11,8,2,12,13,18,-3.33333,-2.5
370,21,1,44,44,27,26,39,51,5.55556,20.5
371,-15,-1,73,66,61,61,74,54,46.46465,8
372,3,1,-12,-7,5,-12,-10,-26,0,-5
373,20,1,60,65,78,66,63,82,50,24
374,22,1,25,24,15,31,21,29,20,11
375,-8,-1,27,34,53,54,41,29,44.44444,3
376,35,1,1,6,-21,-11,8,-15,-18.88889,-3
377,16,1,48,53,57,56,48,54,33.63636,26.5
378,-5,1,-7,-4,4,-2,-3,-40,11.11111,2.5
379,-6,-1,23,14,21,45,12,-1,33.33333,-3
380,6,-1,17,19,26,17,26,26,14.44444,4.5
381,12,-1,53,59,52,63,57,43,50,18
382,-11,-1,34,28,28,35,32,20,15.45455,3
383,3,1,11,19,43,-7,15,25,-10,10.5
384,-7,1,1,8,3,4,11,-10,-2.5,2.5
385,-4,-1,28,28,16,38,27,24,13.63636,4.5
386,13,-1,-14,-17,-2,-8,-8,-21,-4.44444,-7.5
387,21,1,14,9,-10,20,25,13,25.55556,7.5
388,31,1,32,43,25,34,41,62,20,27.5
389,53,1,23,23,27,9,25,31,4.54545,10.5
390,-17,-1,37,34,38,51,38,25,39.39394,5.5
391,2,-1,1,-1,-8,7,3,-5,5.55556,-3.5
392,13,1,17,12,16,19,15,7,0,4.5
393,-4,1,14,21,18,12,15,14,10,10
394,49,1,22,16,39,17,21,21,10,18.5
395,3,1,24,28,25,17,30,27,10,16.5
396,10,-1,20,18,9,4,8,27,-20,12
397,17,-1,13,11,3,15,12,11,0,4.5
398,2,-1,26,27,15,25,25,18,20,14
399,-2,1,4,6,3,-2,4,8,0,17.5
400,2,0,-4,-4,-6,-1,-3,-3,-9.09091,-7.5
401,3,1,38,38,26,51,39,18,40,10.5
402,27,-1,88,89,90,88,88,71,52.72727,19.5
403,13,1,12,11,4,-2,8,39,0,7
404,49,1,75,70,49,78,70,54,43.33333,22.5
405,28,1,95,91,92,94,97,97,70,32.5
406,11,1,10,19,7,12,15,19,-3.63636,10.5
407,10,1,38,45,36,46,48,32,20,10.5
408,3,-1,53,57,60,64,61,38,70,5
409,13,1,19,8,14,3,4,13,-16.66667,6.5
410,9,1,60,65,53,49,58,65,14.54545,24
411,-5,-1,30,34,3,22,46,33,10.90909,3
412,-1,-1,60,61,20,60,56,54,24.54545,16.5
413,11,1,45,49,44,56,50,36,40,16
414,6,-1,-6,-12,-24,-27,-9,3,-20,-2.5
415,48,1,12,6,30,11,13,12,10,7.5
416,-6,-1,42,39,16,47,47,50,13.63636,5.5
417,28,1,55,61,68,58,53,56,50,27
418,18,1,15,9,15,8,16,24,-10,7
419,11,1,31,36,47,26,38,32,20,6.5
420,2,1,10,13,20,10,12,-1,10,5
421,32,1,33,30,49,36,38,43,40,26
422,9,1,5,11,3,9,5,-2,20,1.5
423,-11,0,15,19,16,16,16,12,18.18182,6.5
424,-27,-1,40,45,49,30,51,30,27.27273,3
425,-2,1,17,25,-17,7,24,36,10,10
426,23,0,1,2,1,1,1,4,8.33333,8.5
427,33,0,11,9,-2,2,6,13,-9.09091,15.5
428,-22,0,1,2,-1,-2,3,6,-7.57576,3
429,4,0,13,21,5,6,14,28,10.60606,13
430,28,0,9,9,15,14,8,8,10.60606,3.5
431,7,0,23,28,13,15,23,23,19.69697,13
432,-13,0,3,6,8,7,6,-10,15.90909,-2
433,-10,0,34,26,19,38,30,20,23.48485,5
434,6,0,39,40,41,32,34,29,27.27273,8
435,23,0,-2,-6,20,14,11,-12,20.45455,-5.5
436,-9,0,29,31,18,43,29,8,30.06993,5
437,-4,0,10,16,14,18,13,15,9.09091,4
438,13,0,3,8,-3,2,-1,-5,-9.09091,-2
439,3,0,5,7,1,12,8,-12,9.09091,1
440,-3,0,18,14,33,18,12,30,9.09091,1
441,-18,0,11,10,13,5,10,9,8.97436,-3
442,-4,0,19,11,40,5,8,45,-9.09091,3.5
443,19,0,52,45,12,31,46,37,9.09091,6
444,1,0,1,-4,5,-3,-1,19,-9.09091,6.5
445,6,0,-2,10,-12,-11,-1,25,-5.30303,2.5
446,3,0,19,24,18,42,31,-12,28.78788,-2
447,-15,0,22,15,13,14,14,11,9.09091,0
448,7,0,24,21,19,29,26,-2,18.18182,4
449,25,0,9,6,26,-4,4,34,-9.09091,6.5
450,25,0,40,34,40,37,33,30,9.09091,12
451,3,1,-5,-7,-14,-29,-6,-3,-25,-6.5
452,22,-1,8,32,54,6,32,59,0,15.5
453,32,1,25,39,26,20,42,7,20,14.5
454,7,-1,-55,-31,-14,-72,-35,-14,-75,-8
455,-49,1,-29,-15,-10,-29,-16,-4,-25,3
456,-11,-1,-34,-4,-9,-17,-5,-16,-25,-4.5
457,-8,-1,7,-20,-7,27,-22,-22,-10,-10.5
458,-6,-1,-47,-36,-26,-13,-28,-42,0,-11.5
459,7,1,-42,-26,-31,-33,-10,-32,-25,-2.5
460,-1,-1,22,18,29,46,22,21,20,-1.5
461,7,1,-23,-7,4,-53,-4,-6,-50,6
462,3,-1,48,51,30,23,47,42,13.33333,7.5
463,22,1,61,81,70,55,78,79,40,31
464,3,-1,30,32,38,58,35,28,40,2.5
465,39,-1,57,76,66,49,76,64,50,23.5
466,3,1,-3,21,17,-7,24,10,-25,9.5
467,28,1,7,25,42,45,32,33,30,21
468,24,1,34,39,37,39,37,15,8.33333,19
469,16,-1,19,22,14,17,26,17,40,1.5
470,21,-1,39,23,14,12,23,4,0,-1
471,-16,1,3,-11,-19,7,-16,-14,0,7
472,52,1,46,58,70,25,58,70,10,28.5
473,-7,-1,4,1,-4,11,4,2,25,-1
474,-20,1,-27,-17,12,-51,-6,-3,-30,7
